dataset,variant,seed,regime_name,regime_side,IC,RankIC,Precision@10,Sharpe,num_days
nasdaq,full,0,market_volatility,low,0.012505941617815215,0.011532308858576692,0.03529411554336548,0.7679592267949215,119
nasdaq,full,0,market_volatility,high,0.023273371087024146,0.01874602796663767,0.047457627952098846,1.7273424378018045,118
nasdaq,full,0,pca_ratio,low,0.01316926720798673,0.011138323678815064,0.03529411554336548,0.509734091700657,119
nasdaq,full,0,pca_ratio,high,0.022604424093546092,0.019143352003854905,0.04745762050151825,1.9840136098561225,118
nasdaq,full,0,cross_sectional_dispersion,low,0.011241612926579448,0.005500668535564689,0.04453781619668007,1.453856103479151,119
nasdaq,full,0,cross_sectional_dispersion,high,0.02454841442818564,0.0248287838856074,0.0381355918943882,1.1402830591757156,118
nasdaq,full,0,market_trend,up_or_flat,0.02251387082405139,0.019594915034286092,0.04409448802471161,0.8460190996188225,127
nasdaq,full,0,market_trend,down,0.012501847692130303,0.009962016771632162,0.038181815296411514,2.0133820227580657,110
nasdaq,full,1,market_volatility,low,0.012053408174523144,0.00597761432491556,0.05126050114631653,0.5693283801241035,119
nasdaq,full,1,market_volatility,high,0.02121263565678126,0.01688093689499202,0.06271186470985413,2.717943230000941,118
nasdaq,full,1,pca_ratio,low,0.012865605692432005,0.005834632874036036,0.05294117331504822,0.6182039312467325,119
nasdaq,full,1,pca_ratio,high,0.020393555109059613,0.017025130053082385,0.06101695075631142,2.7466007031434767,118
nasdaq,full,1,cross_sectional_dispersion,low,0.008238586286785268,0.0025827030146478853,0.057983193546533585,1.160957721790122,119
nasdaq,full,1,cross_sectional_dispersion,high,0.02505978654356776,0.02030461864009247,0.05593220144510269,2.5796019118513347,118
nasdaq,full,1,market_trend,up_or_flat,0.01823783201723741,0.015577287431512996,0.05511811375617981,1.1730419728670063,127
nasdaq,full,1,market_trend,down,0.014738562855266289,0.006590646858835085,0.059090908616781235,2.795355603046839,110
nasdaq,moe,0,market_volatility,low,0.01426981745812134,0.012366132566753282,0.04873950034379959,-0.16889131789961395,119
nasdaq,moe,0,market_volatility,high,0.02613602405003572,0.022173646153779543,0.0576271153986454,2.397169797403332,118
nasdaq,moe,0,pca_ratio,low,0.014685236299097413,0.010509939742604262,0.04873949661850929,0.7050238585338542,119
nasdaq,moe,0,pca_ratio,high,0.025717084710407307,0.024045569425590843,0.0576271191239357,1.7386193083321937,118
nasdaq,moe,0,cross_sectional_dispersion,low,0.010617281106778053,0.006098403911494666,0.0470588281750679,1.4594450508943169,119
nasdaq,moe,0,cross_sectional_dispersion,high,0.029819514099271745,0.028494491153574247,0.05932203680276871,1.0791108352279073,118
nasdaq,moe,0,market_trend,up_or_flat,0.02587036658665092,0.022902119062005864,0.05275590345263481,1.3062167179040975,127
nasdaq,moe,0,market_trend,down,0.013605659626508977,0.01072264455195347,0.05363636836409569,1.2646783326838629,110
nasdaq,moe,1,market_volatility,low,0.015573664311076976,0.013306244137303653,0.05378150939941406,0.08201026808794466,119
nasdaq,moe,1,market_volatility,high,0.033618703498347204,0.031364556654591716,0.061864402145147324,1.9733930109755837,118
nasdaq,moe,1,pca_ratio,low,0.015799245285457234,0.012962115941982042,0.05210083723068237,0.2795324750011849,119
nasdaq,moe,1,pca_ratio,high,0.03339121082079423,0.03171160119055164,0.06355932354927063,1.79700817952357,118
nasdaq,moe,1,cross_sectional_dispersion,low,0.014842716808736073,0.00957402339242565,0.0638655424118042,1.915817786693293,119
nasdaq,moe,1,cross_sectional_dispersion,high,0.03435584547104693,0.03512840638883309,0.05169491469860077,0.13619045892883025,118
nasdaq,moe,1,market_trend,up_or_flat,0.028331460744714525,0.025385717927181715,0.05669291317462921,0.5364176711672778,127
nasdaq,moe,1,market_trend,down,0.020201614102221686,0.018731586916626176,0.059090908616781235,1.839004158069085,110
nasdaq,single_gate,0,market_volatility,low,0.01722096066487593,0.024410771677552276,0.05546218529343605,-0.7488758369973391,119
nasdaq,single_gate,0,market_volatility,high,0.03563528271269653,0.03833886455735626,0.04830508306622505,1.8760929304504999,118
nasdaq,single_gate,0,pca_ratio,low,0.0146483928757571,0.01962884558079091,0.06050420179963112,-0.8730109530335813,119
nasdaq,single_gate,0,pca_ratio,high,0.038229651923757046,0.043161315451547805,0.043220337480306625,2.2138061061966856,118
nasdaq,single_gate,0,cross_sectional_dispersion,low,0.013815027174438122,0.01759502279719909,0.05546218529343605,1.7444254274195823,119
nasdaq,single_gate,0,cross_sectional_dispersion,high,0.039070080046273645,0.04521237402144125,0.04830508306622505,-0.39574228932078187,118
nasdaq,single_gate,0,market_trend,up_or_flat,0.0299977532168117,0.031268416383023204,0.04803149029612541,1.483691531139567,127
nasdaq,single_gate,0,market_trend,down,0.02222311836984855,0.03143435424320738,0.05636363849043846,-0.3396745516151975,110
nasdaq,single_gate,1,market_volatility,low,0.020864245672553714,0.027152663597664915,0.061344537883996964,1.4302405482927958,119
nasdaq,single_gate,1,market_volatility,high,0.03526129425548696,0.03841362140482781,0.047457627952098846,0.8146978275837207,118
nasdaq,single_gate,1,pca_ratio,low,0.018092352958071288,0.02374773465308259,0.06302521377801895,0.6735177583441574,119
nasdaq,single_gate,1,pca_ratio,high,0.03805667758619381,0.04184740567944897,0.04576271399855614,1.513692068235322,118
nasdaq,single_gate,1,cross_sectional_dispersion,low,0.014312488766496672,0.017622301781045256,0.05378150939941406,1.7905272481508647,119
nasdaq,single_gate,1,cross_sectional_dispersion,high,0.041868574525154655,0.04802474899955441,0.055084746330976486,0.38163244922104345,118
nasdaq,single_gate,1,market_trend,up_or_flat,0.03136377191440547,0.03332265859422105,0.04566928744316101,0.860778366295174,127
nasdaq,single_gate,1,market_trend,down,0.024186172036835075,0.03210906047659757,0.06454545259475708,1.4148379550556192,110
nasdaq,static,0,market_volatility,low,0.028528701862517915,0.023924336013301743,0.032773107290267944,-0.43588852835597425,119
nasdaq,static,0,market_volatility,high,0.04380580188974864,0.03831971283228594,0.04406779631972313,-0.20985075192261707,118
nasdaq,static,0,pca_ratio,low,0.025405241646304994,0.020085511955929315,0.03361344709992409,-0.5474046649521473,119
nasdaq,static,0,pca_ratio,high,0.04695573210779388,0.04219106929692424,0.043220341205596924,-0.09680369325183714,118
nasdaq,static,0,cross_sectional_dispersion,low,0.02349617309181583,0.017635670407409116,0.04285714030265808,0.10947459593764497,119
nasdaq,static,0,cross_sectional_dispersion,high,0.04888097920935498,0.044661672214499695,0.033898305147886276,-0.7120405675883296,118
nasdaq,static,0,market_trend,up_or_flat,0.03912721619039305,0.031926961425017185,0.03779527172446251,-0.982574955385116,127
nasdaq,static,0,market_trend,down,0.032680397167727776,0.03012725453468606,0.03909090906381607,0.44287217734038836,110
nasdaq,static,1,market_volatility,low,0.027612395560615424,0.02568837133234976,0.0563025176525116,0.8177668024341538,119
nasdaq,static,1,market_volatility,high,0.03753240107754995,0.03622496530208421,0.05169491842389107,-0.06280620698527536,118
nasdaq,static,1,pca_ratio,low,0.024201482530740018,0.02163829765868286,0.05882352963089943,0.9372270673490086,119
nasdaq,static,1,pca_ratio,high,0.04097222015005142,0.040309361634002526,0.04915253818035126,-0.1921261653352334,118
nasdaq,static,1,cross_sectional_dispersion,low,0.01853000561749766,0.015956847460349782,0.05210083723068237,-0.34735275689985967,119
nasdaq,static,1,cross_sectional_dispersion,high,0.04669176042696532,0.04603895971537232,0.05593220144510269,1.1350696458078524,118
nasdaq,static,1,market_trend,up_or_flat,0.03578991770233746,0.03291338424364445,0.04881889745593071,-0.599059806480237,127
nasdaq,static,1,market_trend,down,0.028812535006066106,0.028649657229570122,0.06000000238418579,1.8525493848887538,110
