epoch,train_loss,val_loss,test_loss,val_RankIC,val_IC,test_RankIC,test_IC,best_score
1,0.0708036430784174,0.069952309900333,0.06984539238838204,0.02595364012374794,0.03335544093559812,0.006297994024071888,0.009329407730823547,0.02595364012374794
2,0.0699393966310733,0.06988717825521552,0.06977268346125566,0.025814103182739696,0.02586534684614312,0.027017453061420428,0.02687972161760711,0.02595364012374794
3,0.06986220803212476,0.06980700959407148,0.06969811160604662,0.0289015997005764,0.038373097703452146,0.03231628376004219,0.026867743332247458,0.0289015997005764
4,0.06983132718785388,0.06981421084631056,0.06971442309612966,0.028198596677987277,0.038106569896973225,0.032174710335135304,0.02596439309624507,0.0289015997005764
5,0.06979730422230991,0.06981729739715183,0.06969850853022644,0.028395639620915365,0.03788921678584764,0.028936782571552706,0.026100371667588686,0.0289015997005764
6,0.06978354492300265,0.06986729682437957,0.06977942755705194,0.02799019699101798,0.037394376873086756,0.030809259088838893,0.02509579715841312,0.0289015997005764
7,0.06977092105190497,0.06980630986037709,0.0696940186594609,0.02797269851936786,0.0371944199672841,0.02882320032403328,0.02496390957309165,0.0289015997005764
8,0.06976483856906762,0.06981487725935286,0.06970890922636926,0.0266768417287884,0.03642978877871342,0.028525669605644097,0.02362638713820456,0.0289015997005764
9,0.069758716537743,0.06983094286942293,0.069709284899104,0.02641537790842694,0.036239538880874445,0.025827779873366184,0.025139659995305007,0.0289015997005764
10,0.06975127501866302,0.06986476436612152,0.06977449112300631,0.02684731495393198,0.03597895024734224,0.028950856200847697,0.023832489515582044,0.0289015997005764
11,0.06975500345028736,0.06980646617474064,0.06969228283136705,0.02552484395559914,0.03437092884338372,0.02729129370641875,0.023042441837937584,0.0289015997005764
12,0.06974286668606706,0.06980547427184998,0.06969421649280982,0.025320514614765078,0.034379829659536926,0.030527328633373447,0.023513514844244857,0.0289015997005764
13,0.06974294389019141,0.06980691829489337,0.06969740757333578,0.02385850475467224,0.03239332060865496,0.027709201209636145,0.022820133291713438,0.0289015997005764
14,0.06974069699645043,0.06980762293650991,0.06969929153280419,0.02354109340503494,0.03178932970493204,0.02565101545253957,0.022005459555289177,0.0289015997005764
15,0.06973620096372592,0.06980682942011053,0.0696981079279119,0.021710233034340606,0.030013758460492163,0.025818148909337063,0.02149625425963792,0.0289015997005764
16,0.06973829019714047,0.06980666323077112,0.06969328504448702,0.020831311746160427,0.028771803709253342,0.022524550179646347,0.02001963717058955,0.0289015997005764
17,0.06973587028883599,0.0698286033871155,0.0697060521644882,0.018630402374944264,0.02443784030615389,0.02076273568513418,0.017259383299115374,0.0289015997005764
18,0.06972933812318621,0.0698096158485564,0.06969791490443145,0.019419858418774628,0.024453837087743784,0.019713738460567686,0.01716427132732899,0.0289015997005764
19,0.06972562651577834,0.06982335330001892,0.06972590815040129,0.020754692993669156,0.02513573108525533,0.01881408709433433,0.019851605150257218,0.0289015997005764
20,0.0697254203864046,0.06983605911216093,0.06970852930963291,0.02007910540095552,0.022619702230994812,0.020063896792182376,0.019595341372603544,0.0289015997005764
21,0.06972277301388818,0.06982146706136447,0.06972150303391968,0.020609054805448515,0.02110656005643683,0.015955702175375442,0.01712297136596461,0.0289015997005764
22,0.06972164454290995,0.06981392039193048,0.06969832031661448,0.020591483571768057,0.021745521940165272,0.01656537396544841,0.018147255740268327,0.0289015997005764
23,0.06971887852493171,0.06982113911755501,0.06972290050505586,0.02247852412129139,0.023019342864086318,0.015614409976194805,0.01795787838698298,0.0289015997005764
24,0.0697139878329393,0.06982663805995669,0.06971852166994714,0.02159448451883301,0.020745789683710356,0.014341311677131126,0.017177919811353148,0.0289015997005764
25,0.06971279993854665,0.06985842188199361,0.0697753556104149,0.025043799385284296,0.023941272087020998,0.012353465297526605,0.016287310642818652,0.0289015997005764
26,0.06971247018994511,0.0698232323167816,0.06972230483585269,0.025035171841279538,0.02509645339460038,0.01340794263867846,0.01749344429205123,0.0289015997005764
27,0.06970753667725099,0.06982119298643535,0.06971804492710008,0.027577187667211834,0.02708391880797636,0.01280906992679057,0.017276791422573833,0.0289015997005764
28,0.06970289489506064,0.06982403059327413,0.06971907870301718,0.02712417740327683,0.024934882236670494,0.009436837266241534,0.014889933832765498,0.0289015997005764
29,0.06970235522131663,0.06983376019412563,0.06971463708812174,0.028232407994062035,0.028610115630842287,0.014235468782958052,0.018207712158683432,0.0289015997005764
30,0.06969980310547996,0.06982512677472735,0.06971526771532333,0.02919749534512881,0.028059435560429676,0.01140627281972156,0.016613698650921698,0.02919749534512881
