dataset,variant,IC_mean,IC_std,RankIC_mean,RankIC_std,ICIR_mean,ICIR_std,Precision@10_mean,Precision@10_std,Sharpe_mean,Sharpe_std,OriginalIC_mean,OriginalIC_std,OriginalICIR_mean,OriginalICIR_std,OriginalPositivePrecision@10_mean,OriginalPositivePrecision@10_std,OriginalSharpe@5_mean,OriginalSharpe@5_std,OriginalMSE_mean,OriginalMSE_std
synthetic,moe,-0.02180725848302245,0.0,-0.012030075304210186,0.0,-0.29926926215320676,0.0,0.4750000089406967,0.0,545.2939174352548,0.0,-0.02180725848302245,0.0,-0.29926926215320676,0.0,1.0,0.0,696.624009475708,0.0,0.0006055658666171621,0.0
synthetic,moe__ne2_temp05_warm1,-0.02180725848302245,0.0,-0.012030075304210186,0.0,-0.29926926215320676,0.0,0.4750000089406967,0.0,545.2939174352548,0.0,-0.02180725848302245,0.0,-0.29926926215320676,0.0,1.0,0.0,696.624009475708,0.0,0.0006055658666171621,0.0
