epoch,epoch_sec,train_loss,train_grad_norm,val_loss,test_loss,val_RankIC,val_RankICIR,val_IC,val_ICIR,val_Precision@10,test_RankIC,test_RankICIR,test_IC,test_ICIR,test_Precision@10,test_Sharpe@10,test_Turnover@10,test_CostSharpe@10,best_score,bad_epochs
1,12.946623799998633,0.07115413616033825,nan,0.0701049045910911,0.06996440774277796,0.003942340063711902,0.08719788032441025,0.007041539824837985,0.1666324797325774,0.012301587484895236,0.0020497580995107313,0.045471422866676804,0.006555597777753471,0.15034720148069183,0.015611814578625724,0.45595825142185886,0.1729957834829258,0.1468590258779518,0.003942340063711902,0
2,13.28670879999845,0.06996851194951985,nan,0.06991550899923794,0.06982297877847897,0.006147867084412913,0.11435785198410556,0.011283798996402535,0.21403241520217892,0.013888889095849462,0.004607781581433277,0.09518646908172243,0.008701874090294513,0.18695438527588934,0.018143460217407485,-1.042646147502866,0.14177215423136322,-1.2621138737328002,0.006147867084412913,0
3,13.668609899999865,0.06987996767904307,nan,0.06983533977634376,0.06973808387663796,0.014223016681792195,0.16219873533464388,0.022103151412069102,0.26229733576407743,0.040873016511637064,0.010512705673124711,0.15106517939164418,0.01617730207169499,0.24411827436729427,0.029957806416453188,0.2980201498977061,0.07341772242437435,0.2036168407969916,0.014223016681792195,0
4,12.76348400000279,0.06982825879712362,nan,0.06994608322542811,0.06987004827723725,0.019271049211965874,0.17950146894584854,0.028680290291381496,0.27718586740087625,0.0603174613345237,0.013166992558178174,0.16840358052945453,0.017784075598814033,0.22508828003375062,0.04514768012339556,0.7543104617340617,0.058649789934922876,0.689285066889987,0.019271049211965874,0
5,12.837439800001448,0.06980402893512636,nan,0.06984571805075994,0.06974574694024863,0.01782853167692554,0.17678161984152582,0.02583468595733552,0.2641845340539961,0.04722222298501976,0.012743936456447145,0.1649281484479958,0.017999606533909317,0.23377985438315874,0.03839662510760223,0.3650019814918971,0.06582278575952547,0.2911115692628798,0.019271049211965874,1
6,12.718102300001192,0.06978508763619372,nan,0.06992812844968978,0.06979926037385997,0.016575013183711913,0.17691898610567108,0.022464381028262394,0.25542188095441376,0.03015873060813026,0.015306275431877238,0.1887030856392261,0.021588607728559885,0.2885917376546096,0.02995780635357909,1.0475947031497437,0.08987341862061858,0.9236016723704674,0.019271049211965874,2
7,13.104212399997778,0.06977862827479839,nan,0.06980740849579138,0.06969746104775602,0.021326074408577932,0.1854645025220724,0.030819326451328666,0.2793287909692564,0.0531746040556639,0.01758588905279713,0.20145333240394112,0.021083551424138938,0.24150577379226423,0.04556962102651596,0.47068598414126256,0.046835443861625366,0.41766389626410516,0.021326074408577932,0
8,13.9683580000019,0.06976856242966008,nan,0.06980847058788178,0.06969329240075646,0.020062035188958462,0.19135020688235263,0.027620771623563967,0.27275141305835027,0.04246031812259129,0.017770914449911558,0.20394406211800806,0.02100860560570749,0.24211420953887655,0.04219409348718225,0.348525979082816,0.06877637255292401,0.274062588789688,0.021326074408577932,1
9,14.1982244000028,0.06975854651348011,nan,0.06986979146798451,0.06977021590441088,0.022567202305210577,0.19247212561114355,0.03197302854373231,0.284134315592994,0.05238095327975258,0.02053657615162385,0.2230105628603118,0.02206063150641418,0.24024457877167274,0.04641350292706791,0.7977898309461775,0.04050632974895244,0.7532325874990948,0.022567202305210577,0
10,14.0352458999987,0.0697525845689548,nan,0.06985788804198069,0.06973678845016262,0.01956343704059402,0.1864959480320616,0.026515712094618404,0.2683712941451287,0.039682540392118784,0.02025216457705143,0.22145220579687805,0.02357536444012154,0.2663209175483465,0.04135021164950439,0.634296401490476,0.07763713158132658,0.5363565745924004,0.022567202305210577,1
