dataset,variant,seed,regime_name,regime_side,IC,RankIC,Precision@10,Sharpe,num_days
nasdaq,single_gate,0,market_volatility,low,0.013668946927695089,0.017138087036119413,0.04537815206191119,-1.0697957716558077,119
nasdaq,single_gate,0,market_volatility,high,0.034116995386161225,0.035723979500027654,0.050847458574226345,2.3857918952532327,118
nasdaq,single_gate,0,pca_ratio,low,0.01147621787174462,0.013006958165479934,0.05126050515335147,-1.266004481806974,119
nasdaq,single_gate,0,pca_ratio,high,0.03632830689173839,0.03989011793736747,0.044915255032858606,2.8165194894082908,118
nasdaq,single_gate,0,cross_sectional_dispersion,low,0.01228647253679321,0.014006222831085324,0.05042016913159555,2.0849821478059907,119
nasdaq,single_gate,0,cross_sectional_dispersion,high,0.03551118566173176,0.03888238492713831,0.04576271254632432,-0.5037320115988755,118
nasdaq,single_gate,0,market_trend,up_or_flat,0.02704515806613554,0.025680538846223844,0.04488189060856977,1.2346110656278122,127
nasdaq,single_gate,0,market_trend,down,0.020160682414213874,0.027213031862100417,0.051818182725798,0.2265546306536942,110
nasdaq,single_gate,1,market_volatility,low,0.016543314947762348,0.021868354204588204,0.04621848820888696,-0.9585710140864163,119
nasdaq,single_gate,1,market_volatility,high,0.03451727790327869,0.03598695572256505,0.050000000997620114,1.0515309185788344,118
nasdaq,single_gate,1,pca_ratio,low,0.013963591084842953,0.01826298198498347,0.048739496712424175,-1.932460333599594,119
nasdaq,single_gate,1,pca_ratio,high,0.03711886383283299,0.03962288194403084,0.04745762801523936,2.0186371757608175,118
nasdaq,single_gate,1,cross_sectional_dispersion,low,0.012318292004154102,0.01575043110936066,0.05126050521596139,2.036160001933077,119
nasdaq,single_gate,1,cross_sectional_dispersion,high,0.03877810612607006,0.04215672562368435,0.044915255032858606,-1.8109184903302642,118
nasdaq,single_gate,1,market_trend,up_or_flat,0.029374178059905123,0.030012782766689054,0.046456693840308455,1.3525766321336206,127
nasdaq,single_gate,1,market_trend,down,0.02101066052511504,0.02761065012944693,0.050000000880523164,-1.391218239472838,110
