dataset,variant,seed,device_resolved,num_params,train_log_epochs,time_per_epoch_sec,gpu_memory_peak,RankIC
nasdaq,single_gate,0,cuda,108853,30,14.661225886666944,118.59814453125,0.026391822524478793
nasdaq,single_gate,1,cuda,108853,30,14.651422463333681,118.59814453125,0.028897868884424777
