dataset,variant,seed,IC,RankIC,ICIR,Precision@10,Sharpe,best_epoch
nasdaq,single_gate,0,0.023849831814188774,0.026391822524478793,0.24146970239125437,0.04810126669673477,0.7971939752823806,4
nasdaq,single_gate,1,0.025492376672449808,0.028897868884424777,0.2611703850630411,0.04810126672817182,0.09868688042011632,3
