dataset,variant,seed,device_resolved,num_params,train_log_epochs,time_per_epoch_sec,gpu_memory_peak,RankIC
nasdaq,moe,0,cuda,308845,30,14.083258003333079,119.87451171875,0.010033918650750118
nasdaq,moe,1,cuda,308845,30,15.049249179999727,119.87451171875,0.008024493806341168
nasdaq,single_gate,0,cuda,107677,30,12.699808670000373,116.00048828125,0.0019118589032755748
nasdaq,single_gate,1,cuda,107677,30,12.608722843333574,116.00048828125,0.012409127958144459
nasdaq,static,0,cuda,103055,30,11.578565190000397,115.67724609375,0.010700525515044761
nasdaq,static,1,cuda,103055,30,11.452131843333579,115.67724609375,0.007301708557254945
