dataset,variant,seed,regime_name,regime_side,IC,RankIC,Precision@10,Sharpe,num_days
nasdaq,moe,0,market_volatility,low,0.015963830594795152,0.017777463070023022,0.020168067527418378,2.027101423442165,119
nasdaq,moe,0,market_volatility,high,0.003118158323281855,0.0022247509736867655,0.016101695155188188,0.5297201104540614,118
nasdaq,moe,0,pca_ratio,low,0.013323712685319572,0.018580792324046188,0.021008403674394143,1.4087280611983526,119
nasdaq,moe,0,pca_ratio,high,0.005780650113346213,0.0014146138446295034,0.015254237515441442,1.1390379893342892,118
nasdaq,moe,0,cross_sectional_dispersion,low,0.0048395961213919545,0.0055238328191271726,0.015126050645563783,2.1618023231208836,119
nasdaq,moe,0,cross_sectional_dispersion,high,0.014336665970188471,0.01458222554874275,0.02118644099366867,0.5359006251546296,118
nasdaq,moe,0,market_trend,up_or_flat,0.016223644763717106,0.019348380996435002,0.01732283490379964,1.0262179058640601,127
nasdaq,moe,0,market_trend,down,0.0018839603448709981,-0.0007200515119951557,0.019090909375385805,1.556998833614066,110
nasdaq,moe,1,market_volatility,low,0.0108464718884358,0.012370773784311473,0.01344537835161225,2.4928116239771314,119
nasdaq,moe,1,market_volatility,high,6.9433210567587e-05,0.003641380947201623,0.016949152794934936,0.5211198681759636,118
nasdaq,moe,1,pca_ratio,low,0.015565027948468924,0.023104907014454175,0.015966386792539547,2.843964980268168,119
nasdaq,moe,1,pca_ratio,high,-0.004689110612686155,-0.007183719513705,0.014406779875694695,0.0933458176629513,118
nasdaq,moe,1,cross_sectional_dispersion,low,0.0016387296466845549,0.0037483000445977916,0.01176470605766072,1.5243259636169946,119
nasdaq,moe,1,cross_sectional_dispersion,high,0.009355207166231979,0.01233692649826881,0.01864406807442843,1.362895505173286,118
nasdaq,moe,1,market_trend,up_or_flat,0.0004187250174362007,0.0035293104239798143,0.014173228557654254,-0.42840744784798734,127
nasdaq,moe,1,market_trend,down,0.011324956330513074,0.01321438734779473,0.016363636607473548,3.727321490336075,110
nasdaq,single_gate,0,market_volatility,low,-0.00101264425310768,0.0024987089901599064,0.01176470605766072,-0.8860946567343987,119
nasdaq,single_gate,0,market_volatility,high,0.0052654310415688335,0.0013200355105701896,0.02627118683214915,2.6390439587966847,118
nasdaq,single_gate,0,pca_ratio,low,0.00419265718567146,0.012878067717112663,0.015126050645563783,-0.8311318159160981,119
nasdaq,single_gate,0,pca_ratio,high,1.6016878732243333e-05,-0.009147283883560134,0.02288135627316216,2.806089018491823,118
nasdaq,single_gate,0,cross_sectional_dispersion,low,-0.003980573987736985,-0.007168659032518123,0.019327731380442612,0.7373103142061299,119
nasdaq,single_gate,0,cross_sectional_dispersion,high,0.008258512723101777,0.011069330380898032,0.01864406807442843,0.854300982623471,118
nasdaq,single_gate,0,market_trend,up_or_flat,0.0034337421681174614,0.001807807884215722,0.01732283490379964,0.439841444966501,127
nasdaq,single_gate,0,market_trend,down,0.0005884631039490076,0.0020319905343719503,0.020909091220660644,1.142727229558443,110
nasdaq,single_gate,1,market_volatility,low,0.013409132830318167,0.012111722966147383,0.009243697616733423,0.22687169146312877,119
nasdaq,single_gate,1,market_volatility,high,0.009206662546464447,0.012709053331429644,0.02203389869655593,1.5987765183765015,118
nasdaq,single_gate,1,pca_ratio,low,0.02610255339840012,0.02994557239991777,0.015966386792539547,0.7678809657673384,119
nasdaq,single_gate,1,pca_ratio,high,-0.0035943293823639593,-0.005275930419576086,0.015254237578581955,1.16641766817229,118
nasdaq,single_gate,1,cross_sectional_dispersion,low,0.007702871025226885,0.009535970413341272,0.019327731443052533,1.510705419625322,119
nasdaq,single_gate,1,cross_sectional_dispersion,high,0.014961282502446334,0.015306634295700212,0.011864406956454455,0.43450197204237273,118
nasdaq,single_gate,1,market_trend,up_or_flat,0.00826075307338938,0.01029597175643068,0.01259842538458156,0.7916979813221976,127
nasdaq,single_gate,1,market_trend,down,0.014845066790638323,0.014848862845577638,0.019090909443118354,1.1550491578985667,110
nasdaq,static,0,market_volatility,low,0.009147658845323663,0.016002036276969965,0.014285714498588018,0.027163099384170695,119
nasdaq,static,0,market_volatility,high,0.0026202638104747414,0.005354086695815105,0.02033898335392192,2.6435621014932322,118
nasdaq,static,0,pca_ratio,low,0.00929175638065462,0.01771895256834574,0.014285714498588018,0.3076469082401857,119
nasdaq,static,0,pca_ratio,high,0.0024749451095901305,0.0036226202663768208,0.02033898335392192,2.3645650742104927,118
nasdaq,static,0,cross_sectional_dispersion,low,0.007345526691471391,0.011329669134100476,0.019327731380442612,2.294570808226677,119
nasdaq,static,0,cross_sectional_dispersion,high,0.004437668270715591,0.010066050170403826,0.015254237515441442,0.295448037786315,118
nasdaq,static,0,market_trend,up_or_flat,0.00914706618572754,0.019405881491559373,0.01811023649033599,0.3800874913552898,127
nasdaq,static,0,market_trend,down,0.002146228424019434,0.0006497963421597061,0.016363636607473548,2.0602856718569447,110
nasdaq,static,1,market_volatility,low,0.010676823595554387,0.01235309978673125,0.010084033763709189,0.9727412917437195,119
nasdaq,static,1,market_volatility,high,0.0008535620441238032,0.002207508927528841,0.013559322235947949,-0.20494488917016293,118
nasdaq,static,1,pca_ratio,low,0.017643652743847743,0.02587337845725109,0.012605042204636485,0.47417707495245404,119
nasdaq,static,1,pca_ratio,high,-0.006172308029155089,-0.011427348375792016,0.011016949316707709,0.14877989801450575,118
nasdaq,static,1,cross_sectional_dispersion,low,0.0009468925195773516,0.0012521460193048912,0.01176470605766072,1.2169348566501657,119
nasdaq,static,1,cross_sectional_dispersion,high,0.010665950163117595,0.01340253857434017,0.011864406956454455,-0.47300876612597,118
nasdaq,static,1,market_trend,up_or_flat,0.00023010447754260652,0.0017656664628495175,0.009448819038436168,-0.2820246388877597,127
nasdaq,static,1,market_trend,down,0.012200355094815181,0.01369332079352303,0.014545454762198708,1.0214682315006378,110
