epoch,epoch_sec,train_loss,train_grad_norm,val_loss,test_loss,val_RankIC,val_RankICIR,val_IC,val_ICIR,val_Precision@10,test_RankIC,test_RankICIR,test_IC,test_ICIR,test_Precision@10,test_Sharpe@10,test_Turnover@10,test_CostSharpe@10,best_score,bad_epochs
1,13.667287600001146,0.07201736641896737,nan,0.06986901752414211,0.06976309887090312,0.006386757731426827,0.16005894237846988,0.0069296783960511215,0.16226146757224222,0.02857142902674183,0.0002250462655765928,0.0065777122872603365,0.0024136173116305515,0.06643655750404627,0.027004219874551025,1.2892144141249537,0.10506329301917604,1.1080525514433759,0.006386757731426827,0
2,13.500045100001444,0.07008086465097763,nan,0.06981677493997036,0.06971164135741785,0.0028929043410388412,0.09081106526520623,0.0025700277936497487,0.08023818300943694,0.009126984262986788,0.0028141916801716804,0.08596470254907754,0.004209879386826479,0.12236099885192624,0.01940928298964279,0.853619911984707,0.1717299610879351,0.5904655986104776,0.006386757731426827,1
3,14.1158940000023,0.0699388210938589,nan,0.06981191784143448,0.06971154223640257,0.0213284193582478,0.20501875255460605,0.027650717378867463,0.28624884654906757,0.03888888955707588,0.010842468935900601,0.17051736309299512,0.015895702176185064,0.24554295670478782,0.041772152521187746,0.4840457347142478,0.08818565535394451,0.37296449314134034,0.0213284193582478,0
4,12.622533100002329,0.06988515560892788,nan,0.06980939168069097,0.06970339890899538,0.022972170043633215,0.20596346657607292,0.029753618504776293,0.28558478714812824,0.046428572268240036,0.014260175145223328,0.19803752169606736,0.01905105828468684,0.260170422835437,0.048101266570986574,1.579755095988783,0.08185654136701978,1.4666158957729853,0.022972170043633215,0
5,12.684485600002517,0.0698393718314332,nan,0.0698136364124597,0.06969903010230527,0.022790364934547735,0.20841299385612955,0.029769928827273175,0.29291895124891426,0.040476191138464304,0.014966939871429313,0.2031161200390603,0.020213146381130684,0.27428031464013963,0.046413502864193816,1.8706469865099489,0.09156118301902642,1.7460321706922681,0.022972170043633215,1
6,13.004876300001342,0.06981144574647014,nan,0.06985985280738936,0.06976485104626241,0.02431739441670014,0.21457447527388104,0.03200549442766397,0.30168231474437734,0.0432539689576342,0.017486602263177907,0.22586318618611093,0.021699967207131663,0.27713507165929036,0.051054853207199886,1.6561433264737542,0.08987341899786318,1.531646811613129,0.02431739441670014,0
7,12.672771300000022,0.06979576223404022,nan,0.06980977455774943,0.06969444211651002,0.021884101599714503,0.2319397089361795,0.026799647349795872,0.31117969755316477,0.024603174969790472,0.01739023697664686,0.2515764568909626,0.023012673871823534,0.34983570787516305,0.0316455700918089,2.7334538638690016,0.15654008734955566,2.516806468648217,0.02431739441670014,1
8,12.598735899999156,0.0697844035923481,nan,0.06981227807109318,0.0697061299711843,0.02568324130316753,0.21866578108114149,0.0336335137000701,0.3052263652158621,0.049603175431016895,0.020045542709025546,0.24614781046178183,0.02272544941277428,0.2742935158884423,0.04641350289563086,0.2673766174792222,0.06793249058949796,0.17754717687593222,0.02568324130316753,0
9,12.942477199998393,0.06977446598781122,nan,0.06984239133695762,0.0697246671728947,0.02314645905599242,0.24959344990610977,0.027181503164077487,0.3250247058460215,0.025396825775267588,0.020806713313412488,0.29537282151650507,0.0250658310447792,0.37856800690256664,0.030801688222693996,2.3194537289452195,0.15527426476594264,2.116864420098473,0.02568324130316753,1
10,12.74113909999869,0.06976583929279366,nan,0.06988492655375647,0.06978632839797419,0.02625148435791267,0.2202110074620023,0.03432248061474797,0.31028022476302386,0.05317460408522969,0.022192472831949292,0.25650298874025423,0.02442765311300676,0.2790909924121483,0.05316455787998715,0.5926739720198598,0.08059071859478448,0.4932121831973031,0.02625148435791267,0
11,12.666071100000408,0.06976457588575982,nan,0.06980596408839264,0.06969325580803151,0.027314394257874006,0.23083438569521852,0.03603157901907541,0.326075506385203,0.04960317546058269,0.022871610977499547,0.2608161926924888,0.024829350748857806,0.27939845953281495,0.05063291227264243,0.5604262930912128,0.07130801812883168,0.46591263319269227,0.027314394257874006,0
12,12.626116200000979,0.06975210536573384,nan,0.06980586542733132,0.0696934384572858,0.02596002113349396,0.2304183033449742,0.03457018017971201,0.32977472000161007,0.04960317546058269,0.023909258173841527,0.2729543960600864,0.02559737506458135,0.28903826846518016,0.04978903037209048,0.8526525485204853,0.08607595074403135,0.7378328501007236,0.027314394257874006,1
13,13.101391399999557,0.06975216690350224,nan,0.06980716806673815,0.06969445708054531,0.024585353941859914,0.23674315990284808,0.033007565146637344,0.3426113426050329,0.03452381009738597,0.024501386746584402,0.28243996076651945,0.026622391954375792,0.30195589584467003,0.04177215255262479,0.4972822106170509,0.09915611968387532,0.3682727691708772,0.027314394257874006,2
14,13.761577400000533,0.069748082324057,nan,0.06980774214579946,0.06969561141754504,0.023247659434139402,0.23547389612970665,0.03148643171008434,0.34095309092908666,0.045634921344499736,0.024131164769933707,0.2843095542396408,0.02566456432500461,0.2929384962320641,0.04472573912596401,0.42049262753351674,0.06160337644538799,0.34229673301969366,0.027314394257874006,3
15,13.809479399998963,0.06974423493485193,nan,0.0698081407518614,0.06969583056521315,0.021445625694353126,0.24172859386288792,0.029254106165830136,0.34890216045637895,0.04563492140363133,0.02475043647492281,0.2886662756622716,0.02612536391272427,0.29530393002060934,0.04556962102651596,0.8200462476585639,0.05654008529357266,0.7485153072163486,0.027314394257874006,4
16,13.067175500000303,0.06974554404213622,nan,0.06980911172216847,0.06969293304385012,0.0192493009048381,0.24883313297812124,0.02600156804348646,0.352982349456503,0.04563492137406554,0.02274886370842951,0.277159200548141,0.02466317380172837,0.2873078653932179,0.04725738473330872,0.9293656970203622,0.0641350221784809,0.851130983269705,0.027314394257874006,5
17,12.732311300002038,0.06974304445289277,nan,0.0698366602439256,0.06971179747380285,0.011328659145672444,0.1892768624919606,0.015969543433230784,0.27230796163396626,0.03452381009738597,0.019548802487237796,0.26016034703670493,0.02285448726935151,0.2887590012944336,0.04514768006052146,0.7450883431882211,0.08227848252163658,0.6439649326827974,0.027314394257874006,6
