epoch,train_loss,val_loss,test_loss,val_RankIC,val_IC,test_RankIC,test_IC,best_score
1,0.07072830804296441,0.07002438116996061,0.06989990218782224,0.030213797354557006,0.0365427856340541,0.01899386297546441,0.014845040615679714,0.030213797354557006
2,0.06993139021702714,0.06988582715746902,0.06976113591013075,0.02852374380398985,0.028425318905849255,0.034832666919837836,0.031432394578924966,0.030213797354557006
3,0.06985639364936867,0.06980747918760966,0.06969564197435661,0.03014756537676375,0.04003718418174512,0.03457525331145821,0.02808681679550629,0.030213797354557006
4,0.06982616086465282,0.06981473898012487,0.06971014781466013,0.029743626614545642,0.0393184647047227,0.03496311913919532,0.026945749862622548,0.030213797354557006
5,0.06979311443865299,0.06981407354275386,0.06969627398478834,0.02976146224913435,0.03930284634799815,0.03506535394161445,0.027004726803596307,0.030213797354557006
6,0.06978081175805749,0.06986668475327037,0.06977230077805902,0.029208417039915238,0.038035378480489025,0.03512976883506827,0.0248443714342643,0.030213797354557006
7,0.06976743958689072,0.06980602567394574,0.06969308397312204,0.029390561282251305,0.03869697854379266,0.035240692183284975,0.02627741141537158,0.030213797354557006
8,0.06976337046236605,0.06981272200152042,0.06970637417418041,0.028731285093864058,0.03722751951528831,0.0349792251154635,0.024044191947389583,0.030213797354557006
9,0.0697578972960646,0.06982909480021113,0.06970576875949208,0.02923102697821464,0.03851237619505449,0.03534295674210084,0.026435054354330342,0.030213797354557006
10,0.0697512424878172,0.06986952386796474,0.06977864615776368,0.028685851867767124,0.03716488578310606,0.03506692211568073,0.02401830686132506,0.030213797354557006
11,0.06975410766899585,0.06980675071596153,0.06969177584607893,0.02830125429300963,0.0365108606019353,0.03460721625801066,0.02324176834010075,0.030213797354557006
12,0.06974323371777663,0.06980533637697735,0.06969322345930816,0.0281115549303303,0.03646414149238447,0.03405194141939361,0.02368360387704093,0.030213797354557006
13,0.06974478290491813,0.06980639166893467,0.06969609507654287,0.028070505966983517,0.036419693713902405,0.03408332907092853,0.023598545447853,0.030213797354557006
14,0.06974267562901651,0.0698069537442828,0.06969738641620185,0.028036902037990606,0.03636552605571018,0.034010723789265764,0.023553608922191393,0.030213797354557006
15,0.06973842265638146,0.06980536050266689,0.06969420174883388,0.027889609849519312,0.03608223746183314,0.033585187210799644,0.023207944105963815,0.030213797354557006
16,0.06974174593751495,0.06980583772418045,0.06969163148715023,0.027903087716180063,0.036006049605497366,0.0336684600935408,0.022900568948825667,0.030213797354557006
17,0.06974003259595987,0.06982734778689013,0.06970534024107808,0.027842119205608525,0.03586600023291318,0.03341492925739144,0.022624349544308135,0.030213797354557006
18,0.06973491579898305,0.0698077195575313,0.06969247969016747,0.0277204182523761,0.03583625761634072,0.03319676649238018,0.02282745573588132,0.030213797354557006
19,0.06973325615195004,0.06981912716513589,0.06971514121263842,0.02762528500193545,0.03576820872013553,0.03289680444598119,0.022812165809895465,0.030213797354557006
20,0.06973325917245568,0.06983135495748785,0.06970600988165739,0.027669797259260945,0.035857368237985715,0.0329663316239819,0.022922117829313974,0.030213797354557006
21,0.06973328721281645,0.06981138988501495,0.06970517802590559,0.02769173252177314,0.03593333671839597,0.03306499903162996,0.023137564655444448,0.030213797354557006
22,0.06973321137798799,0.06980803428542992,0.0696926112227802,0.02758882924501363,0.03583696314239032,0.03276967851372381,0.023177229806698292,0.030213797354557006
23,0.0697318742404113,0.06981029565490428,0.06970349947611491,0.027552530985260438,0.03580237037986369,0.032564378220230374,0.023192385531606286,0.030213797354557006
24,0.06973085843429372,0.0698080247652436,0.06969552968121782,0.02769052547389745,0.036033047875943816,0.03306062834706739,0.02352757998452353,0.030213797354557006
25,0.06972954463515733,0.0698372647757568,0.06974279148040441,0.027626630267366722,0.03602775801592211,0.03269823171485231,0.023661943289592768,0.030213797354557006
26,0.06973150021119698,0.06981208610037963,0.06970353509429135,0.02759189867079147,0.036109589192843516,0.032756528273354506,0.024319296929678772,0.030213797354557006
27,0.06972788808917676,0.06980984492434396,0.06969987296102419,0.02757353416924912,0.03611263947580786,0.032594242868532394,0.02421121444221083,0.030213797354557006
28,0.06972583502128317,0.06980930620597468,0.06969456569554937,0.02753856621654002,0.03617013124878415,0.032570429151693066,0.024696556685977707,0.030213797354557006
29,0.06972733714894669,0.06982180278097826,0.06969439995942739,0.027615159970342314,0.036305014214165224,0.032800349090562717,0.024781690579862996,0.030213797354557006
30,0.06972804746112309,0.06981077491645775,0.06969335470898745,0.027612073727863073,0.0362302602595827,0.03263964060446412,0.024601252171445986,0.030213797354557006
