epoch,train_loss,val_loss,test_loss,val_RankIC,val_IC,test_RankIC,test_IC,best_score
1,0.0705840280531226,0.07007065483383716,0.06994054780856467,0.023546092395023036,0.03229599633694249,0.028786401002573164,0.03502411786530694,0.023546092395023036
2,0.0699102511679804,0.06992065140770541,0.06982178137272219,0.02603363171095095,0.035293746355501567,0.02940368750191565,0.030122351493112466,0.02603363171095095
3,0.06985557083342527,0.06982977667616473,0.06972688873483159,0.026516664635444557,0.03639040642075189,0.0297125830030892,0.030531797211770486,0.026516664635444557
4,0.06981791800542457,0.06998508938011669,0.0699131790910089,0.02674746379974143,0.036268060351306176,0.028817478522232473,0.02630940546873045,0.02674746379974143
5,0.06979911561954666,0.06982002043653102,0.06971485843638328,0.026926253599600703,0.0371706772299755,0.029564840346402863,0.0304869867315789,0.026926253599600703
6,0.06978246977401746,0.06995757420857747,0.06982896068302388,0.027658777414339895,0.03713936012360454,0.031091654429504848,0.03613502170729946,0.027658777414339895
7,0.0697767608874553,0.0698070985279859,0.06969297202579079,0.027198968201634078,0.037074028648526616,0.03045597445477146,0.028112667931277178,0.027658777414339895
8,0.0697677833808435,0.06980801758075518,0.069692315557335,0.026535522524407874,0.036620556194860016,0.028708523436044717,0.02986335723411846,0.027658777414339895
9,0.06975710184590236,0.0698605426365421,0.06976247299069593,0.027325016159242266,0.03715196054441,0.030031266761378815,0.02771069227021781,0.027658777414339895
10,0.06974898434772685,0.06985737962855233,0.06973532260344502,0.027225086994428514,0.037325674309526914,0.029305950256526513,0.02924364409741026,0.027658777414339895
11,0.06974418757332337,0.06980569728664936,0.06969410548859005,0.026892608963184073,0.03654353932425794,0.02879771959734835,0.025674579708045153,0.027658777414339895
12,0.06973578660069285,0.06980817019939423,0.0696930220735727,0.026677614153688033,0.03593461103769692,0.02783190196464506,0.025673528358080906,0.027658777414339895
13,0.06973653875694082,0.06980565639715346,0.0696930822755214,0.026801536436294786,0.036097822299491364,0.027606287167283788,0.025590138556533946,0.027658777414339895
14,0.06973104344026462,0.06980567724103966,0.0696932766193579,0.026605400113141282,0.03602905023962237,0.027857060872838894,0.025250949440052427,0.027658777414339895
15,0.06973078051531637,0.06981408105246605,0.06971003948258951,0.025859174282924783,0.034462910628621654,0.025969138003017297,0.024413112814259178,0.027658777414339895
16,0.06972977679122139,0.06980675798914736,0.06969595584185315,0.024475705521624713,0.033890354922198364,0.02483552003442408,0.023101917555750754,0.027658777414339895
17,0.0697286426718976,0.06981257121596071,0.06970302232458622,0.02187259746746609,0.030753866991318997,0.022237225221770247,0.023679084838358174,0.027658777414339895
18,0.069726840799322,0.06980698579360568,0.0696939582688899,0.019979488235895543,0.02815256869958137,0.019914221733745643,0.021901643906171307,0.027658777414339895
19,0.06972702998365905,0.06980677901042832,0.069692861650312,0.019375090623407955,0.02711250336003667,0.020745280086144388,0.023682901964872636,0.027658777414339895
20,0.06972556398124308,0.06980961235979247,0.06969391793515611,0.018864465734204427,0.025729981745364113,0.020965898342559287,0.02201287623127443,0.027658777414339895
21,0.06972417847530261,0.06980990565248898,0.06969390991870864,0.017499483449986048,0.02482211985001673,0.01765636630790536,0.020644671697010394,0.027658777414339895
22,0.06972406044401028,0.06980906725521126,0.06969858916625694,0.015700219840269595,0.021700927314148948,0.018298505401970203,0.02260144854299449,0.027658777414339895
23,0.06972242864603932,0.06981704735921489,0.06971179876272185,0.014916609978489948,0.020393376639630232,0.016348006795487122,0.020549806249833897,0.027658777414339895
24,0.069722095615155,0.06981106268035041,0.06969415012919954,0.01561901657999168,0.021455016216090632,0.016589821769928615,0.021338637621055517,0.027658777414339895
25,0.06972311512642615,0.06980828015458962,0.06969520861463707,0.015893420679806997,0.021264334119642004,0.01768935628798751,0.02290078064029887,0.027658777414339895
26,0.0697219309371871,0.06981148647647055,0.06970346533547978,0.016598901637374344,0.021670358504966965,0.017274910066854443,0.02222742724217885,0.027658777414339895
27,0.06972148319756663,0.06981043482110613,0.06970270097507203,0.016403467709356585,0.021103591060102823,0.015868493098419804,0.021183297692853095,0.027658777414339895
28,0.069720468076097,0.06981069168874196,0.06970480609417967,0.016414015721585157,0.020602667149172964,0.01637868504632765,0.021532146282860508,0.027658777414339895
29,0.06972053440640101,0.06981074919421522,0.06970510597218944,0.015404583796413452,0.019806731314308726,0.016980301866396024,0.0223315878179529,0.027658777414339895
30,0.06971970553937797,0.06981772864385256,0.06972464862503583,0.01552824127545122,0.019591454820040363,0.017336208493530333,0.022070322285898968,0.027658777414339895
