dataset,variant,seed,IC,RankIC,ICIR,Precision@10,Sharpe,best_epoch
nasdaq,context_only,0,0.0025738588307604965,0.005590029653723702,0.0268206898109002,0.009704641494821396,1.4222208453427334,30
nasdaq,context_only,1,0.0064555826001568934,0.00963615824788387,0.07014582780901961,0.010970464298493752,1.1505622747308155,30
nasdaq,full,0,0.005592381396725821,0.008984379642728304,0.0506804037555682,0.012236287102166107,1.8620459160663632,24
nasdaq,full,1,0.013008859357305405,0.01754166980279916,0.15739358982371127,0.01940928298964279,2.7979998880038726,4
nasdaq,moe,0,0.015765057687868927,0.018260152109865226,0.17751953948520463,0.015611814578625724,1.3678481930982975,27
nasdaq,moe,1,0.010950905391096652,0.014456050454752858,0.11822299747552377,0.010970464298493752,1.5665861073634366,5
nasdaq,single_gate,0,0.006213560643068511,0.008302591719963285,0.07071003916726305,0.011814346167608656,1.7085333973994783,3
nasdaq,single_gate,1,0.013405985758580437,0.018049688717243037,0.16236866736444822,0.019831223924200243,2.937903946868141,3
nasdaq,static,0,0.010346413211786986,0.01403597139673335,0.12354008354889554,0.015611814578625724,0.9494488114636187,10
nasdaq,static,1,0.01166041358349499,0.01540109176406802,0.14107751418849465,0.017721519251412982,2.4000602337022587,3
