dataset,variant,seed,regime_name,regime_side,IC,RankIC,Precision@10,Sharpe,num_days
nasdaq,static,0,market_volatility,low,0.016397044941109894,0.016081743684847754,0.015126050645563783,1.84384767416205,119
nasdaq,static,0,market_volatility,high,-0.005619058356510862,-0.005125403365759589,0.011864406956454455,2.82227627352379,118
nasdaq,static,0,pca_ratio,low,0.01345077547158639,0.01610656173316715,0.01344537835161225,0.8026130530105708,119
nasdaq,static,0,pca_ratio,high,-0.0026478205016524123,-0.00515043173652237,0.013559322235947949,4.481133514795197,118
nasdaq,static,0,cross_sectional_dispersion,low,0.0018814915243072529,0.003885355142156492,0.012605042204636485,3.6366684336948834,119
nasdaq,static,0,cross_sectional_dispersion,high,0.009019508224840954,0.007174344401869734,0.014406779875694695,1.309821263060303,118
nasdaq,static,0,market_trend,up_or_flat,0.01006216009541169,0.01211822344133205,0.014960630144190601,2.174547421274229,127
nasdaq,static,0,market_trend,down,9.368299824101004e-05,-0.0020916770519265396,0.01181818199428645,2.4072034577867156,110
nasdaq,static,1,market_volatility,low,0.010770999438113714,0.015728124974739636,0.015126050645563783,1.919849875403757,119
nasdaq,static,1,market_volatility,high,0.004077263966684183,0.006210803784828601,0.016949152794934936,0.26892036992182416,118
nasdaq,static,1,pca_ratio,low,0.01562603281912621,0.026683934645564882,0.012605042204636485,1.1711341561252597,119
nasdaq,static,1,pca_ratio,high,-0.0008189137650148596,-0.004837851730664655,0.019491525714175176,1.0476144587493528,118
nasdaq,static,1,cross_sectional_dispersion,low,-0.0013783208256931741,0.000707918034813625,0.015126050645563783,-0.2602446949519548,119
nasdaq,static,1,cross_sectional_dispersion,high,0.01632954457170977,0.02135830061407602,0.016949152794934936,2.3692401078363523,118
nasdaq,static,1,market_trend,up_or_flat,0.007418723487273211,0.0107395440928077,0.01811023649033599,-0.9397585312448208,127
nasdaq,static,1,market_trend,down,0.007460801802914251,0.011278178352883764,0.013636363839561289,3.421967660606543,110
