epoch,epoch_sec,train_loss,train_grad_norm,val_loss,test_loss,val_RankIC,val_RankICIR,val_IC,val_ICIR,val_Precision@10,test_RankIC,test_RankICIR,test_IC,test_ICIR,test_Precision@10,test_Sharpe@10,test_Turnover@10,test_CostSharpe@10,best_score,bad_epochs
1,14.243829400002141,0.07093286656245992,nan,0.06998045603552508,0.06984431375179613,0.01446575242303042,0.14186484021931775,0.0202450788193447,0.2212079010998783,0.043253968928068404,0.017147009810486825,0.16942876211865338,0.023697241037771623,0.2702251220428432,0.05611814442188931,0.8787702716243424,0.14599156392274526,0.6949077059804153,0.01446575242303042,0
2,14.262109600000258,0.06991906465106719,nan,0.06994711542649874,0.06984832499349168,0.018577440235290735,0.16642699052395926,0.025771032295158383,0.24770142293747185,0.05952381052904659,0.018247767522875102,0.18011217033206298,0.02255954752324487,0.2422861983939558,0.04978903037209048,0.4750723475309945,0.05189873498200364,0.4156188361769295,0.018577440235290735,0
3,14.61636119999821,0.06985637700638256,nan,0.06984734600262037,0.0697489317962389,0.023899141952232826,0.192672672424348,0.032441790441918694,0.2795417869729292,0.0575396836040512,0.02302464712123811,0.22886690022824566,0.025300122361300113,0.2637532345276465,0.047257384764745766,0.3932198876453001,0.043881857288286155,0.3435016665234921,0.023899141952232826,0
4,13.678652099999454,0.06981609502958284,nan,0.0700273397009051,0.06996159538438049,0.02628773158843008,0.20160523949355735,0.035055885158178014,0.28590182559228866,0.0575396835744854,0.026391822524478793,0.26013390019373206,0.023849831814188774,0.24146970239125437,0.04810126669673477,0.7971939752823806,0.01940928302107984,0.7751043557082723,0.02628773158843008,0
5,13.833553200001916,0.06979955306931122,nan,0.06982517928358108,0.06972235475788639,0.025740135611230803,0.2047277408759064,0.034460258778944125,0.2915488997713081,0.0567460326803109,0.02542259339179317,0.2534518849848358,0.025544045950194726,0.26237974088042637,0.04767932569930322,0.800067142817721,0.027004219874551025,0.7687259871162299,0.02628773158843008,1
6,14.36635600000227,0.06978149093888901,nan,0.06993349804173386,0.06980491693638548,0.023459287069849708,0.21484631055319867,0.030091333809809478,0.3016582154628619,0.025396825775267588,0.023885362380761888,0.24794146614643667,0.028742854350309363,0.31918257797272065,0.03797468414160773,1.403136165110291,0.12869198529151923,1.2488492873910049,0.02628773158843008,2
7,13.855819699998392,0.06977703297460401,nan,0.0698071275320318,0.06969465925220698,0.02473270675464947,0.20684039740028584,0.033328206945346515,0.29211176759662427,0.05198412790657982,0.023062464956511358,0.2392144788684563,0.023524012639530998,0.24327285313005767,0.04599156199251046,0.41784656903824724,0.026582278939993573,0.38499204806563514,0.02628773158843008,3
8,14.436697700002696,0.06976834589967856,nan,0.06980686191292036,0.06969262345179224,0.020735032926221187,0.2088905600267001,0.027759936344366343,0.2904125496712519,0.038492064124771526,0.01935069799750605,0.21237989612938418,0.022813379385838686,0.24803544259573523,0.04683544373587717,1.540992576321836,0.03839662507616518,1.4940329737413334,0.02628773158843008,4
9,15.021674799998436,0.06975870191849567,nan,0.06987894589584025,0.06978276101597251,0.020848434097835763,0.2068877078320874,0.027603690197071363,0.28525247812902876,0.037301587916555856,0.01952865920329215,0.2176097488274569,0.02240544182967045,0.24304419894374138,0.047257384764745766,1.3497796396624233,0.034599156696585164,1.3086235819496852,0.02628773158843008,5
10,14.364419300000009,0.06975240960113101,nan,0.06986313342811569,0.06973891441203371,0.015532489333833967,0.20373506372583716,0.019448439151303665,0.2582381669000687,0.02579365120757194,0.0146560752862892,0.17683507523579378,0.01947387082591645,0.22838882381164358,0.043459916290854606,1.4658032780188375,0.0637130812124864,1.390078673462626,0.02628773158843008,6
11,14.339353400002437,0.06974734576368655,nan,0.06980936045921038,0.06969644047539948,0.014771683949797916,0.19717594726452964,0.018585803089492748,0.24502804424360075,0.031349206816345926,0.014022910850071485,0.1725041960779322,0.018442249527414238,0.21529474601569587,0.04261603445317675,1.4869220287751792,0.04725738492193101,1.4335926748876888,0.02628773158843008,7
12,15.339069199999358,0.069736399612314,nan,0.06981288555950399,0.06969556479640147,0.013397001306570712,0.18816786025423402,0.016153431091706374,0.22140713096479325,0.032936508456865944,0.01298335594108391,0.1655032745258962,0.017449604825780802,0.20830119497216165,0.04345991632229165,0.9298541883720185,0.05822784912611362,0.8617214047633623,0.02628773158843008,8
13,15.020789800000784,0.06973924859351403,nan,0.06981326482953533,0.06970174041604191,0.012678251353117091,0.17710765934811068,0.015247470592608834,0.20704505838459333,0.03174603224865028,0.012529765732462601,0.15861096314336567,0.016608641455873437,0.19672406767755451,0.0438818572568491,1.0674157945471805,0.06202531747425659,0.9958425563584875,0.02628773158843008,9
14,14.959750099998928,0.069732266835667,nan,0.06981244411260362,0.06969566989045606,0.012646674945172558,0.17300535479566795,0.014775760419965197,0.19635001853303702,0.032936508456865944,0.01271670124172292,0.15884131876361432,0.016654322969133845,0.19534397838513334,0.04472573912596401,1.0730519586306848,0.07299578192993558,0.9915404187546414,0.02628773158843008,10
15,14.77845150000212,0.06973247904632543,nan,0.06983432371819777,0.06973242134107316,0.012385624684005355,0.15807775389560802,0.014972720544883198,0.184860988024209,0.040079365706159956,0.013949159212274877,0.1705118202027503,0.01750897980965124,0.2005354394882129,0.04556962102651596,1.2462339063155412,0.07172995922057437,1.16513423538024,0.02628773158843008,11
16,14.321476299999631,0.0697295290896216,nan,0.06981882624446399,0.06970434871655476,0.008112545492246053,0.1164704241765945,0.009066166000781185,0.12503939930174424,0.03373015926234306,0.010349290821647747,0.13556348813087332,0.013772313408642017,0.17090912364902766,0.04599156192963636,1.258009940391377,0.07932489591686032,1.1671158118433864,0.02628773158843008,12
17,14.978905999996641,0.0697276861583059,nan,0.06983539949925173,0.06972213384974354,0.004316680142120089,0.06343123413884592,0.003423666618930708,0.048790813047407885,0.023809524193879158,0.0077771670359406886,0.10756713975732984,0.011181149568526862,0.15179187971502195,0.04430379815996951,1.6131343703021357,0.10506329279911669,1.4912050188847024,0.02628773158843008,13
18,15.184625800000504,0.0697234916324551,nan,0.06982439301080173,0.06970479930377711,0.004685777203049506,0.06546164127889088,0.004404708230573479,0.0599973729245282,0.026984127415787606,0.008026023542075978,0.1089592296503687,0.011547758011638584,0.15501004351925776,0.04430379815996951,1.3325702723196968,0.09451476946661744,1.2208445946662412,0.02628773158843008,14
19,15.334290599999804,0.06972196769674083,nan,0.06982844175090866,0.06970099825019072,0.0036582548773222943,0.050887470660008274,0.003540457229569761,0.04807343752883853,0.02579365120757194,0.007415624952605898,0.1009890694134288,0.010677546053472882,0.14483786385688135,0.04514768002908441,1.704736474938426,0.10759493859508369,1.5792871222961,0.02628773158843008,15
20,15.197881600000983,0.06971809294175457,nan,0.06982821997787271,0.06970764913513691,0.00394642042362922,0.05403649781385741,0.004029231104747548,0.05374881569685906,0.02539682583439918,0.007640057312666521,0.10230269871930518,0.011360117189467292,0.151272895196299,0.04641350283275677,1.6159240981753544,0.10337552946956852,1.4888148968998203,0.02628773158843008,16
21,14.751841299999796,0.06971579460880241,nan,0.06982925217894334,0.06969969465008265,0.004214520091344249,0.05778863851738258,0.004400436517619436,0.05899297502243305,0.021428571747882024,0.008799437608203016,0.11478456113934442,0.011831791989185027,0.15568268931171045,0.04556962099507891,1.7638699946409453,0.11940928460550711,1.6330593723261617,0.02628773158843008,17
22,14.141283500001009,0.06971269965775916,nan,0.06984034712825503,0.06971677650504977,0.0006858604271352912,0.008755078200212936,0.0003164335135691559,0.003998566195826799,0.024603174969790472,0.007032721186988056,0.09114180252135314,0.009863322768714043,0.1320775725358915,0.04514768002908441,1.2697631417958501,0.110548525231297,1.1378767120188005,0.02628773158843008,18
23,13.952939599999809,0.06971040916805332,nan,0.06984263034685263,0.06971912972534759,0.0012073295679689933,0.015310942692742559,0.0005442651823065558,0.006893721858355832,0.023412698761574806,0.007440033129427212,0.0943600334020307,0.010373308266221274,0.13802171308397965,0.044725739094526956,1.6090662556581539,0.11729957961834936,1.4741130980715242,0.02628773158843008,19
24,14.727486100000533,0.06970819093891092,nan,0.06983222215185089,0.06970268198709448,0.003069435752141068,0.03862823241961054,0.002758249805155506,0.03467146081902494,0.024603174969790472,0.009499762855536002,0.11623734426956023,0.012054468451052087,0.15563967448448854,0.044725739094526956,0.8105158302715423,0.12573839856099478,0.6604320237593502,0.02628773158843008,20
25,14.53986260000238,0.06970840411613116,nan,0.06983686918540606,0.06971293150246897,0.0034251984110423585,0.0424912313911799,0.002913848000129552,0.03629099290382939,0.024603174969790472,0.009515357773823719,0.11383388472317854,0.011997181634812367,0.15417135174699986,0.04092827068350989,0.8750915061015867,0.13966244943282774,0.7134635514826752,0.02628773158843008,21
26,15.812784300000203,0.06970559119976856,nan,0.06988646033855658,0.06976919932455956,0.00011866917962574266,0.0014265990865462163,2.330615626262789e-05,0.0002853269956920781,0.023015873358836248,0.008232930930329384,0.09580354263096824,0.010477508219201629,0.1351010592159893,0.04092827065207284,0.7485104761692387,0.12362869395108163,0.5906582460509661,0.02628773158843008,22
27,14.312259300000733,0.06970450373718867,nan,0.06984003881613414,0.06971160426170012,0.0026698052421875577,0.03214520804787724,0.0026510065180778,0.0323664570502757,0.02380952416431336,0.009823990142599676,0.11304678094450603,0.01237273271360635,0.1575859709188423,0.03839662504472813,0.42628244975569496,0.13164557158192502,0.2627145384958539,0.02628773158843008,23
28,15.28328479999982,0.0697007646431794,nan,0.06986756959841364,0.06973845191016982,0.0003945808391094149,0.0044894386883719195,0.00012702345783408318,0.00148980090346709,0.025396825775267588,0.009203046753453405,0.10651441032223591,0.011266104999396957,0.14662891226606004,0.039662447848400485,1.4521261293315761,0.15189873634637158,1.26663889705954,0.02628773158843008,24
29,16.301885000000766,0.06969855144821309,nan,0.06984908861063775,0.06971616392271428,-0.00015741878555023244,-0.0017820284878070365,-0.0003507387598455396,-0.004127478669816728,0.023412698761574806,0.009124274443828143,0.10456713102767302,0.011579566597614343,0.1515185065582706,0.03628692037194087,0.6040446705992635,0.15611814600631657,0.40911194221043606,0.02628773158843008,25
30,13.879082799998287,0.0696947847467822,nan,0.0698645312989515,0.06973827249893157,-9.259076267924337e-05,-0.0010397281324013756,-0.0003894677460526249,-0.004601643807889351,0.023412698761574806,0.009782032884179932,0.10788116123915222,0.012119952348215144,0.15425190744720027,0.035443038502825965,0.18199735685429258,0.13797468626046483,0.01633495530602606,0.02628773158843008,26
