epoch,epoch_sec,train_loss,train_grad_norm,val_loss,test_loss,val_RankIC,val_RankICIR,val_IC,val_ICIR,val_Precision@10,test_RankIC,test_RankICIR,test_IC,test_ICIR,test_Precision@10,test_Sharpe@10,test_Turnover@10,test_CostSharpe@10,best_score,bad_epochs
1,13.648898599996755,0.07211105286873676,nan,0.06985158044549208,0.0697542999552775,0.002287687785856034,0.052310300988246294,0.0061953298033571745,0.1362613055248849,0.02539682583439918,-0.001738481807993049,-0.05060080274797345,0.0014263955016344248,0.04004165529440928,0.015611814578625724,0.8763615453079117,0.12194093002422952,0.6738335955527073,0.002287687785856034,0
2,14.55167369999981,0.07010906203775792,nan,0.06981717617738814,0.0697171921342737,-0.0012890299546439016,-0.037592544951773506,-0.0018511353298688643,-0.05682270099571412,0.0035714286246470044,0.00019501827899509066,0.00617144756606516,0.002100133733927171,0.06469251022394444,0.00843881869114904,0.2295785446566645,0.12784810389396006,-0.008615235656510569,0.002287687785856034,1
3,14.879375600001367,0.0699542909860611,nan,0.06981218396316445,0.06971062864432355,0.018325317652881264,0.17765842543830915,0.02559575453813609,0.259437750619885,0.04444444519541566,0.010067336416001656,0.16001360950704904,0.01600905288762869,0.24944878920227023,0.03670886133793537,0.9395870117585331,0.09113924202159487,0.8276362301788844,0.018325317652881264,0
4,14.218681400001515,0.06988997511767052,nan,0.06980988945043276,0.06970152227435937,0.020454941073059296,0.18088243640322949,0.029044125436542792,0.26742136738402356,0.04404761979267711,0.01307846280263063,0.19494009598205156,0.018769776275458075,0.26856499660275657,0.04050632974895244,0.6344502576627623,0.07046413613396858,0.5520684286156001,0.020454941073059296,0
5,13.717101000002003,0.06984014278529464,nan,0.06981263043625015,0.06969895066088262,0.022614794784564605,0.19147930908116775,0.031034780030567494,0.2800430354605974,0.04761904835819252,0.013620449825321896,0.1963987468357878,0.01979905503403144,0.2786047878064311,0.04050632971751539,1.2284708695942843,0.08059071878340676,1.135675957496955,0.022614794784564605,0
6,14.181778600002872,0.06981330797881694,nan,0.0698567492266496,0.06975987977996657,0.02202176666954377,0.18601361996372365,0.030853205443626002,0.2781381188081428,0.04920634999871254,0.016178955877580944,0.2178384915778821,0.02180539057928998,0.28275927017963054,0.044725739094526956,1.5928822240491465,0.08101265956077898,1.5042543578021659,0.022614794784564605,1
7,14.527452800000901,0.06979518112902705,nan,0.06981347959547762,0.06969724994797244,0.020039972792512836,0.1874395169774333,0.02772744795508934,0.2932931483860073,0.023809524193879158,0.018139559030066192,0.2689064983197878,0.02450056805012341,0.39739006257675563,0.028691983549906735,0.7734745087183913,0.15780591043616146,0.5657917027148288,0.022614794784564605,2
8,13.625921400001971,0.06978370052938526,nan,0.06981308489210075,0.06970626005769279,0.02382419169228501,0.1978159651728698,0.032504410379924735,0.2891607856325153,0.0531746039965323,0.018148684071918227,0.2266183781932821,0.022711019856680406,0.27106834369188565,0.047257384670434624,1.289847910238435,0.06877637236430172,1.220173681447968,0.02382419169228501,0
9,13.845509400001902,0.06977356766929498,nan,0.06984456321076742,0.06972663148546018,0.015866447462319647,0.17001222696359194,0.022215067828905637,0.26474386021086155,0.0198412701369278,0.01848446571796247,0.27280449599235923,0.02444251572151073,0.39121664158030495,0.026582278877119475,1.4600547622443993,0.1535865008705276,1.2625840020421022,0.02382419169228501,1
10,14.928680300006818,0.06976546287737988,nan,0.06988457374511257,0.06978679341480198,0.024354628984361797,0.1977094440808635,0.03346720042348366,0.2897678525354878,0.05753968342665642,0.02194456364514939,0.26033642803530843,0.024137929318922686,0.2715080755197622,0.05316455787998715,0.5121402125307926,0.06751054968637756,0.4438933522743245,0.024354628984361797,0
11,14.33303710000473,0.06976449219761668,nan,0.06980631606919425,0.06969330500701308,0.02579535263239883,0.20494953798463728,0.034889870033646096,0.2933850216301534,0.05833333426169933,0.021945772828870228,0.24949215518247916,0.023852102147176556,0.2617957683118603,0.049789030340653434,0.6569038789806194,0.043459916290854606,0.6096268276358296,0.02579535263239883,0
