dataset,variant,seed,device_resolved,num_params,train_log_epochs,time_per_epoch_sec,gpu_memory_peak,RankIC
nasdaq,context_only,0,cuda,42063,30,13.52225906666669,117.04541015625,0.03236487915666719
nasdaq,context_only,1,cuda,42063,30,14.174328199999582,117.04541015625,0.034370332494582434
nasdaq,full,0,cuda,322990,30,18.855324256666304,123.9033203125,0.026349624839438448
nasdaq,full,1,cuda,322990,30,17.851419490000506,123.9033203125,0.026420855677081467
nasdaq,moe,0,cuda,313195,30,16.469471370000733,122.51611328125,0.013934595574220084
nasdaq,moe,1,cuda,313195,30,14.482531246667106,122.51611328125,0.01716978848619064
nasdaq,single_gate,0,cuda,108853,30,14.445928019999943,118.59814453125,0.026391822524478793
nasdaq,single_gate,1,cuda,108853,30,14.553171439999279,118.59814453125,0.028897868884424777
nasdaq,static,0,cuda,104231,30,13.456081863333385,118.27490234375,0.02259867582917174
nasdaq,static,1,cuda,104231,30,13.919334186666918,118.27490234375,0.024981757556432112
