dataset,variant,seed,regime_name,regime_side,IC,RankIC,Precision@10,Sharpe,num_days
nasdaq,context_only,0,market_volatility,low,0.01595111977125072,0.024798238014082322,0.05210084123771731,-0.8042836174219019,119
nasdaq,context_only,0,market_volatility,high,0.03494003659727889,0.03999564437673159,0.04745762801523936,1.7274657966842926,118
nasdaq,context_only,0,pca_ratio,low,0.013570223912448004,0.02086932902975681,0.05630252203520607,-1.4420379677086503,119
nasdaq,context_only,0,pca_ratio,high,0.037341109539630775,0.04395784919990732,0.04322033975336511,2.484602493073817,118
nasdaq,context_only,0,cross_sectional_dispersion,low,0.012288583398057037,0.018223468352210934,0.05378151371949861,1.5927494703457676,119
nasdaq,context_only,0,cross_sectional_dispersion,high,0.03863361141431319,0.046626132425567984,0.04576271254632432,-0.4264984203467554,118
nasdaq,context_only,0,market_trend,up_or_flat,0.02854526051692298,0.031577575871148914,0.04330708743549708,0.7958916445457268,127
nasdaq,context_only,0,market_trend,down,0.021780540778259323,0.03327385658631101,0.05727272826162252,0.3053796443218232,110
nasdaq,context_only,1,market_volatility,low,0.028308385839302314,0.02960034289804264,0.04369747976795966,0.9589770664667844,119
nasdaq,context_only,1,market_volatility,high,0.039239200668200316,0.03918074573177087,0.05677966186303204,1.2045751303696952,118
nasdaq,context_only,1,pca_ratio,low,0.024763991462434604,0.02615462353711306,0.050420168881155865,1.080980317499691,119
nasdaq,context_only,1,pca_ratio,high,0.042813632285549956,0.04265566610423374,0.05000000080819857,1.0855000277678766,118
nasdaq,context_only,1,cross_sectional_dispersion,low,0.01946041898209085,0.01981800258308336,0.05126050502813163,1.002565409108303,119
nasdaq,context_only,1,cross_sectional_dispersion,high,0.048162150295388145,0.049045987235839965,0.04915254316845183,1.1647576167962737,118
nasdaq,context_only,1,market_trend,up_or_flat,0.03742235967491599,0.03536098608820457,0.05196850482873091,0.771245842627684,127
nasdaq,context_only,1,market_trend,down,0.029511671954638916,0.03322657789103687,0.04818181889978322,1.5450048362463618,110
nasdaq,full,0,market_volatility,low,0.013325578953039699,0.01732097299546473,0.05294117738469308,-1.4697219993351158,119
nasdaq,full,0,market_volatility,high,0.03364990376551651,0.03545479068208991,0.0500000009344796,1.9765525423090224,118
nasdaq,full,0,pca_ratio,low,0.011145523527466903,0.012484831607337071,0.05630252203520607,-1.8644918857092636,119
nasdaq,full,0,pca_ratio,high,0.03584843423706874,0.040331916319269495,0.0466101703123521,2.501439993952353,118
