dataset,variant,seed,IC,RankIC,ICIR,Precision@10,Sharpe,OriginalIC,OriginalICIR,OriginalPositivePrecision@10,OriginalSharpe@5,OriginalMSE,best_epoch
nasdaq,context_only,0,0.02540551717830272,0.03236487915666719,0.2551783252603481,0.049789030434964576,0.5789992847759717,0.025388309148774886,0.25635827721635507,0.5054852374306711,-1.0038416697084904,0.0003845459393871529,28
nasdaq,context_only,1,0.03375073246297305,0.034370332494582434,0.3449612706216311,0.05021097127521088,1.0831855754310769,0.03133279871601289,0.3301415305241772,0.5147679361361491,0.3615378030203283,0.0004027345905941311,9
nasdaq,full,0,0.023444863036888915,0.026349624839438448,0.23785135436643792,0.05147679417319439,0.41945274935831134,0.02204216308344081,0.23144330181232095,0.5029535917290152,-2.0469307431578634,0.0006835261166164864,4
nasdaq,full,1,0.02438700971594434,0.026420855677081467,0.2524163885806104,0.051054853144325785,1.417401914674595,0.024369906800119245,0.25288821599525135,0.517299583786902,0.4468543606996536,0.0003882904264658432,3
nasdaq,moe,0,0.01904927581211725,0.013934595574220084,0.2241364866935675,0.03924050703959123,0.5162473899729337,0.018697448581248867,0.2224170913419967,0.5139240563104425,1.7211054490506648,0.0005938854916248468,4
nasdaq,moe,1,0.020516834218833078,0.01716978848619064,0.24610300695812753,0.044303798191406556,0.7304247058031266,0.020438504121895046,0.24641463235966182,0.515189877982381,1.588793971762061,0.00039157547863294075,8
nasdaq,single_gate,0,0.023849831814188774,0.026391822524478793,0.24146970239125437,0.04810126669673477,0.7971939752823806,0.022614083553433275,0.2367830647190819,0.5118143507259808,-1.1528415231406688,0.0006485191275207851,4
nasdaq,single_gate,1,0.025492376672449808,0.028897868884424777,0.2611703850630411,0.04810126672817182,0.09868688042011632,0.025476926270644434,0.261475411873641,0.4957805960615979,-0.7297324400022626,0.00038460075446562,3
nasdaq,static,0,0.022568476762661153,0.02259867582917174,0.23742578179828636,0.047257384764745766,1.0526750155818272,0.022540996684639995,0.23703468510134,0.517299583158161,-1.4955523006618021,0.00038011389486906504,12
nasdaq,static,1,0.025962798848155322,0.024981757556432112,0.2808409940582191,0.05232067597943519,0.7210318379677367,0.025921177402871094,0.2812700495408152,0.5189873461419017,0.5000933654978871,0.0003810692301534006,14
