dataset,variant,IC_mean,IC_std,RankIC_mean,RankIC_std,ICIR_mean,ICIR_std,Precision@10_mean,Precision@10_std,Sharpe_mean,Sharpe_std
nasdaq,full,0.02624776181155808,0.0,0.028735309618053404,0.0,0.26645376960774286,0.0,0.049789030104875565,0.0,0.9893381908873082,0.0
nasdaq,static,0.0304869867315789,0.0,0.029564840346402863,0.0,0.30946610041539596,0.0,0.058227844536304474,0.0,1.2115359295127732,0.0
