epoch,epoch_sec,train_loss,train_grad_norm,val_loss,test_loss,val_RankIC,val_RankICIR,val_IC,val_ICIR,val_Precision@10,test_RankIC,test_RankICIR,test_IC,test_ICIR,test_Precision@10,test_Sharpe@10,test_Turnover@10,test_CostSharpe@10,best_score,bad_epochs
1,16.854358599994157,0.07091517593409565,nan,0.07001717672461555,0.06986072977006687,0.013742858430983716,0.13322001057201321,0.018850586326499025,0.20498656992673656,0.03888888952751008,0.017630495382082365,0.17136946821974186,0.023457619337234125,0.2712861481183025,0.053164557911424194,0.6289156781732114,0.16118143794405812,0.4272862093173891,0.013742858430983716,0
2,14.850437000000966,0.06990432226778688,nan,0.0699721649880447,0.06989211551373518,0.01941336439977888,0.17244765796045142,0.026757036699795178,0.25355553514815404,0.06031746139365529,0.018165409388629726,0.17655184223321618,0.021185008585963887,0.22860774082611054,0.05358649884598165,0.5279068657570194,0.04050632974895244,0.48105953245972105,0.01941336439977888,0
3,15.347697500001232,0.06984717669720586,nan,0.06986121443055925,0.06977444289857325,0.02359431552089056,0.19025225731606912,0.032272336706834416,0.27892596726732266,0.05714285814218105,0.023438601314487086,0.2247918331961667,0.024942449376061715,0.2590950955756448,0.05232067604230929,0.6231126540146554,0.04135021168094144,0.5742699236875252,0.02359431552089056,0
4,15.395973099999537,0.06981393233747096,nan,0.0700217184448053,0.0699688300867624,0.025076420834040387,0.19593625546084076,0.03399430301469115,0.28429042025312146,0.06071428685552544,0.026301189305986593,0.25374492254483433,0.023857124703877335,0.2428372518585613,0.05147679417319439,0.34682137418830417,0.01898734205508534,0.32472806485709366,0.025076420834040387,0
5,15.444095200000447,0.06979319914369969,nan,0.069820677181558,0.06971976352769112,0.02425752479180191,0.19684669990212425,0.03317538892981016,0.2904031151191611,0.05357142951753405,0.025704822629638104,0.2491919962855124,0.02565178418539873,0.26493337722734067,0.05063291230407948,0.31754467747188336,0.042616034516050845,0.2665468401642471,0.025076420834040387,1
6,15.082547500001965,0.06977769154551867,nan,0.06994494083263571,0.06980354408045861,0.021543089275216934,0.19296059962642403,0.028959623056820535,0.28945493445567844,0.025793651178006142,0.024831035693386325,0.24193985203472881,0.02857568118336143,0.3074648730443397,0.03924050691384304,0.6167576074857479,0.16708861039912148,0.3998162479634483,0.025076420834040387,2
7,15.30277439999918,0.0697737259437909,nan,0.06980573252907821,0.06969576649650742,0.025123028116049394,0.202419363361827,0.033791658445677185,0.2940940047807834,0.05515873109892247,0.02687452177719492,0.2618953758107037,0.02509878406925952,0.2564993211711425,0.05063291230407948,0.4294520175491129,0.039240506945280085,0.3839671537149035,0.025123028116049394,0
8,15.140896100005193,0.06976511753290086,nan,0.06980840849971014,0.06969168078044295,0.02219450936721091,0.19623931320874288,0.029815341391815943,0.28521697824457903,0.04444444519541566,0.02455421516284708,0.24219495902648738,0.024901912549060164,0.2578789294382315,0.04894514850297558,-0.17618762429013754,0.046835443955936515,-0.23029168196616434,0.025123028116049394,1
9,14.594665199998417,0.06975582121191798,nan,0.06988135290642579,0.06979303407769666,0.02226344257083145,0.19559210467502308,0.02996002135801569,0.2843475143150094,0.04285714364359303,0.02525387232325468,0.25162333587626184,0.024438486856954635,0.25201119859594573,0.04894514859728672,-0.06999350021192176,0.040928270903569236,-0.11512260908202034,0.025123028116049394,2
10,14.740054700007022,0.06975018847230319,nan,0.06986870947811338,0.06973771562304677,0.017627323204896315,0.18101089869269651,0.0233015084493326,0.26375058680167796,0.028174603594437478,0.02184261478856869,0.22471580384473608,0.023973925395847598,0.2564492563123488,0.04177215255262479,0.19011180990208998,0.0966244742651529,0.07378642997977608,0.025123028116049394,3
11,15.169899900000019,0.06974447120887202,nan,0.06980778977629684,0.06969800251948682,0.01884721755558285,0.18373537467334627,0.02562964982470952,0.26863643807831333,0.041269841914375625,0.020798390599327234,0.21893429238786838,0.021755386650354015,0.2309949387445294,0.045147680091958506,-0.0846562535890166,0.053164557785676,-0.14601230447997668,0.025123028116049394,4
12,14.700634700006049,0.06973256071072978,nan,0.0698134759884505,0.06969396653683377,0.016769014160775527,0.17277842060468934,0.022657239137241426,0.24827230819021492,0.03452381006782017,0.02045601064399207,0.21634209662309345,0.020912375403415874,0.22174420169913328,0.04599156192963636,-0.0518821368709412,0.05654008507351332,-0.1145353089309325,0.025123028116049394,5
13,14.765115700000024,0.06973417905738225,nan,0.06981234361846296,0.06970187411781102,0.014443035164847046,0.15975824418016704,0.019358530509865857,0.2244433533597665,0.033333333859604505,0.01761560149653913,0.1930262342807406,0.019011610993655705,0.20606346988234778,0.046835443861625366,-0.1099949259351611,0.06582278579096251,-0.18251345697978022,0.025123028116049394,6
14,14.964936399999715,0.06972665321585295,nan,0.06981307761891493,0.06969820805491274,0.013219797833511304,0.14393168388747182,0.01797923391599657,0.20619868744350142,0.03134920687547752,0.018376780800285104,0.19857957164847306,0.019247288522919646,0.20727742545615235,0.04725738479618282,-0.0872357603684177,0.07130801809739463,-0.17137409873532325,0.025123028116049394,7
15,14.65072909999435,0.06972494535148144,nan,0.06982623841909189,0.06972250424105407,0.013184311697321911,0.14096905460574047,0.017952332232010714,0.20130882721305685,0.03134920687547752,0.01836912973168923,0.19873323222100586,0.019359631616250615,0.20857319629741114,0.047257384764745766,-0.008359049495348167,0.07215189977788725,-0.09221806304186482,0.025123028116049394,8
16,14.97489879999921,0.06972055591240123,nan,0.06981980652799682,0.06970459411415873,0.009868402521908773,0.11264658462351974,0.013500028307062744,0.15965467519003068,0.027777778221264718,0.016506985978582946,0.18445601064807893,0.018099094575879122,0.20139434602528317,0.04556962099507891,-0.8049851426683204,0.08523206868629415,-0.9021686297218532,0.025123028116049394,9
