dataset,variant,seed,IC,RankIC,ICIR,Precision@10,Sharpe,best_epoch
nasdaq,static,0,0.022568476762661153,0.02259867582917174,0.23742578179828636,0.047257384764745766,1.0526750155818272,12
nasdaq,static,1,0.025962798848155322,0.024981757556432112,0.2808409940582191,0.05232067597943519,0.7210318379677367,14
